CODID,SMILE,bgs
4074437,[Mo]1234([P]5(OC)N(C)CCN5C)(P5N(C)CCN5C)([cH]5[cH]1[cH]2[cH]3[cH]45)C#[O],2.79
7226496,Clc1c(Cl)ccc(c1)[C@H](Cl)[C@H](Cl)[C@H](O)C(=O)OC.Clc1c(Cl)ccc(c1)[C@@H](Cl)[C@@H](Cl)[C@@H](O)C(=O)OC,1.12
7215594,Clc1ccc2c(NCCCl)ccnc2c1,2.85
2101963,OC(=O)Cc1c[nH]c2cc(ccc12)CC,3.15
7154039,N1(c2ccccc2C(O)C1=O)C,3.47
2015669,O=C1CC(CC1)C(=O)O,3.55
1100226,N1C(=O)OC(/C1=C/C(C)(C)C)(OCC)C1CCCCC1,4.27
1517440,O=C1O[C@@H]2[C@@H]([C@@H]3[C@@](C=CC3=O)(CC2)C)C1.O=C1O[C@H]2[C@H]([C@H]3[C@](C=CC3=O)(CC2)C)C1,3.02
7204880,Fc1c(OC)c(F)c(F)c(c1F)C#C,3.43
1508877,COc1ccc(cc1)C(=O)c1[nH]c(=O)c2c(cccc2)n1,2.38
4026498,Clc1ccc([C@@](O)(C(=O)NC=O)C(=O)OCC)cc1,3.37
4021728,c12ccc(cc1CN1C(=O)N3[C@@]4([C@@]1(C(=O)OCC)N(C2)C(=O)N4Cc1ccc(cc1C3)N(=O)=O)C(=O)OCC)N(=O)=O,2.11
1503651,c12ccccc1nc(s2)Nc1ccccc1,3.08
4029009,n1(nnc(c2ccccc2)c1)Cc1cc(cc(c1)C)C,3.85
4505800,Brc1c(c(Br)c(C)c(Br)c1C)C,3.26
4020750,O=C1[C@H]2c3cc4OCOc4cc3CN(C(=O)[C@H]([C@H](OC(=O)C)C1)OC(=O)C)CC2,2.64
2015322,O1C(=O)CNC(=O)C1,4.63
4105893,Brc1ccc(cc1)C1=C[C@](C(=O)O1)(C)C=C,3.15
2213865,OC(=O)c1ccc(Oc2ccc(cc2)C(=O)O)cc1,2.98
4028575,Brc1ccc2nc(c3c(c2c1)C=CCC3)C(=O)NC,2.46
2014887,O=C1N(C(=O)CC1)c1cc(N(=O)=O)ccc1,2.51
2221663,BrCCCn1nnc(c2ncccc2)c1,3.46
